name	lat	lon	slug	notes	access	area
暁ふ頭公園	35.607993	139.7914445	akatsuki-futo-koen	潮通しよく水深5〜7m、シーバス・クロダイ・カレイ実績豊富	テレコムセンター駅から徒歩30分	東京湾
有明西ふ頭公園	35.6276168	139.7938156	ariake-nishi-futo-koen	ビッグサイト隣接、投げ釣り禁止・落とし込みでクロダイ・シーバス向き	東京ビッグサイト駅から徒歩10分	東京湾
城南島海浜公園	35.5810613	139.7861016	jonanjima-kaihin-koen	羽田対岸の潮通し良好ポイント、根掛かり多くウキ釣り・ルアー向き	城南島四丁目バス停から徒歩10分	東京湾
水の広場公園	35.6249395	139.7829902	mizu-no-hiroba-koen	お台場の広大な護岸、シーバス・クロダイ・冬カレイの実績あり	青海駅から徒歩5分	東京湾
大井ふ頭中央海浜公園なぎさの森	35.5937388	139.7486472	oi-futo-chuo-kaihin-koen-nagisa-no-mori	京浜運河沿いの4エリア、夏ハゼ・シーバス・クロダイ向き	立会川駅から徒歩20分	東京湾
東海ふ頭公園	35.577126	139.7561145	tokai-futo-koen	京浜運河沿いの小公園、ハゼ・シーバス・ナイターカレイ向き	流通センター駅から徒歩20分	東京湾
若洲海浜公園	35.6141161	139.8300362	wakasu-kaihin-koen	570m防波堤と人工磯、アジ・クロダイ・シーバス・カレイ向きの都内最人気公園	江東区方面から車利用	東京湾
